"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6"
"","variation","Siatka mesh","id:1018","13397.1","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","50"
"","variation","Siatka mesh","id:1018","363.528","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","1"
"","variation","Siatka mesh","id:1018","630.828","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","2"
"","variation","Siatka mesh","id:1018","898.128","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","3"
"","variation","Siatka mesh","id:1018","1165.43","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","4"
"","variation","Siatka mesh","id:1018","1432.73","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","5"
"","variation","Siatka mesh","id:1018","2769.23","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","10"
"","variation","Siatka mesh","id:1018","4105.73","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","15"
"","variation","Siatka mesh","id:1018","5442.23","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","20"
"","variation","Siatka mesh","id:1018","6778.73","Wymiar","300x150 cm","Podłoże","Siatka mesh","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","25"
